 TITLE     = "Aerodynamic Forces of FSW."
 VARIABLES = X,Y,Z,FX,FY,FZ 
 ZONE   T  = "FORCE" ,i=           199,j=          46
        5.420996       0.001245       0.044184       0.189377       2.182670       0.105597
        5.406034       0.002538       0.044184       0.198201       2.300515       0.110490
        5.390152       0.003901       0.044184       0.208773       2.443042       0.116248
        5.373300       0.005335       0.044184       0.221123       2.607301       0.122982
        5.355423       0.006840       0.044184       0.233592       2.795102       0.129758
        5.336471       0.008411       0.044184       0.247416       3.008917       0.137258
        5.316382       0.010045       0.044184       0.261464       3.247694       0.144986
        5.295098       0.011734       0.044184       0.274562       3.509659       0.152169
        5.272561       0.013466       0.044184       0.286936       3.796501       0.158801
        5.248707       0.015231       0.044184       0.298241       4.111752       0.164804
        5.223472       0.017014       0.044184       0.306909       4.455531       0.169327
        5.196793       0.018797       0.044184       0.313253       4.827623       0.172552
        5.168602       0.020558       0.044184       0.314620       5.230789       0.173222
        5.138832       0.022269       0.044184       0.311293       5.666028       0.171134
        5.107416       0.023900       0.044184       0.300907       6.133622       0.165188
        5.074282       0.025415       0.044184       0.282455       6.633143       0.155140
        5.039363       0.026773       0.044184       0.253419       7.165054       0.138844
        5.002594       0.027927       0.044184       0.213431       7.729378       0.116342
        4.963905       0.028823       0.044184       0.157254       8.323064       0.085129
        4.923230       0.029396       0.044184       0.085214       8.945737       0.045809
        4.880505       0.029579       0.044184      -0.006826       9.592075      -0.004444
        4.835670       0.029295       0.044184      -0.120078      10.260570      -0.066661
        4.788663       0.028457       0.044184      -0.259039      10.943812      -0.141921
        4.739431       0.026972       0.044184      -0.423080      11.631363      -0.230585
        4.687928       0.024740       0.044184      -0.615559      12.315194      -0.334319
        4.634105       0.021661       0.044184      -0.832980      12.987994      -0.451110
        4.577925       0.017630       0.044184      -1.076951      13.628118      -0.581692
        4.519355       0.012545       0.044184      -1.340968      14.218616      -0.721854
        4.458375       0.006315       0.044184      -1.617633      14.745609      -0.868564
        4.394969      -0.001131       0.044184      -1.896352      15.184539      -1.016355
        4.329135      -0.009849       0.044184      -2.165560      15.501416      -1.158484
